,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
Squad,# Pl,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Augsburg,28,8699,7446,1253,308,30,1587,295,342,89,27,33,17,4510,1620,2569,2078,5136,507,550,155,6110,58,225,173,288
Bayern Munich,24,18265,16977,1288,333,48,2883,537,657,182,59,64,23,13264,2486,2515,4993,11755,492,594,238,15716,49,233,260,362
Dortmund,25,17552,16312,1240,318,48,2819,424,397,154,40,63,11,13072,2392,2088,4694,11474,472,537,201,15128,35,223,286,342
Düsseldorf,28,10567,9317,1250,362,16,2141,499,493,105,24,58,16,5970,1854,2743,2673,6341,549,513,201,8009,39,235,160,304
Eint Frankfurt,27,11000,9703,1297,308,15,2147,334,635,156,46,77,15,6167,1922,2911,3247,6057,593,599,169,8130,38,231,186,377
Freiburg,26,11520,10160,1360,338,17,2175,351,489,116,62,26,12,6950,1923,2647,3412,6507,508,582,210,8992,31,223,172,331
Hertha BSC,30,10921,9662,1259,338,17,1993,374,388,88,24,49,7,6468,1739,2714,3177,6128,500,563,195,8387,29,214,154,329
Hoffenheim,29,13406,12107,1299,354,26,2753,299,432,127,36,74,7,8891,1999,2516,3117,8736,515,528,235,10884,40,231,181,294
Köln,27,10698,9392,1306,344,20,2325,305,507,131,55,46,15,6145,1685,2868,3676,5485,528,540,135,8089,49,227,187,299
Leverkusen,23,16642,15334,1308,344,42,2989,385,524,148,69,54,14,11700,2424,2518,5621,9513,454,579,229,13947,56,221,265,370
M'gladbach,22,12749,11419,1330,361,33,2140,315,439,132,41,45,24,8235,2120,2394,2959,8319,443,561,188,10197,58,169,247,314
Mainz 05,24,10050,8756,1294,302,19,1865,296,440,120,39,59,15,5815,1766,2469,2587,5999,418,561,241,7417,40,213,173,296
Paderborn 07,25,11048,9643,1405,294,16,2127,361,404,136,45,57,15,6758,1823,2467,2664,6780,464,684,237,8498,39,227,210,360
RB Leipzig,27,14466,13235,1231,332,39,2378,331,482,140,52,55,14,9592,2359,2515,3057,9823,551,547,243,11817,60,215,253,356
Schalke 04,27,11848,10552,1296,326,28,2073,300,340,126,6,85,13,7337,1778,2733,3034,7305,469,575,163,9300,57,226,193,337
Union Berlin,25,9849,8562,1287,321,9,2025,232,464,92,47,35,4,4674,2122,3053,2427,5436,711,595,207,6966,43,293,161,344
Werder Bremen,30,11767,10427,1340,373,13,2255,316,426,112,46,50,9,7225,1933,2609,3323,7002,461,545,176,9256,34,205,179,354
Wolfsburg,24,11620,10252,1368,336,27,2029,379,496,133,27,67,12,6522,2109,2989,3895,5856,630,665,207,8719,52,232,209,376