Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,GlsP90,AstP90,G+AP90,G-PKP90,G+A-PKP90,xG,npxG,xA,xGP90,xAP90,xG+xAP90,npxGP90,npxG+xAP90
Augsburg,28,36.7,25,275,2250,36,25,3,4,50,2,1.44,1.00,2.44,1.32,2.32,33.9,30.8,33.9,1.36,1.36,2.71,1.23,2.59
Bayern Munich,24,67.8,25,275,2250,72,58,4,4,45,2,2.88,2.32,5.20,2.72,5.04,64.4,61.3,64.4,2.58,2.58,5.15,2.45,5.03
Dortmund,25,61.0,25,275,2250,68,59,2,2,27,1,2.72,2.36,5.08,2.64,5.00,45.0,43.7,45.0,1.80,1.80,3.60,1.75,3.55
Düsseldorf,28,44.3,25,275,2250,27,20,3,3,63,0,1.08,0.80,1.88,0.96,1.76,25.0,22.8,25.0,1.00,1.00,2.00,0.91,1.91
Eint Frankfurt,27,48.8,24,264,2160,36,29,1,1,44,3,1.50,1.21,2.71,1.46,2.67,34.7,33.9,34.7,1.44,1.44,2.89,1.41,2.86
Freiburg,26,49.2,25,275,2250,32,19,5,6,35,2,1.28,0.76,2.04,1.08,1.84,31.3,26.8,31.3,1.25,1.25,2.51,1.07,2.32
Hertha BSC,30,44.8,25,275,2250,31,25,1,1,54,3,1.24,1.00,2.24,1.20,2.20,28.0,27.2,28.0,1.12,1.12,2.24,1.09,2.21
Hoffenheim,29,52.7,25,275,2250,34,24,2,2,47,0,1.36,0.96,2.32,1.28,2.24,34.2,32.7,34.2,1.37,1.37,2.74,1.31,2.68
Köln,27,45.8,25,275,2250,38,31,0,0,61,3,1.52,1.24,2.76,1.52,2.76,35.9,35.9,35.9,1.44,1.44,2.87,1.44,2.87
Leverkusen,23,63.5,25,275,2250,42,37,1,1,44,6,1.68,1.48,3.16,1.64,3.12,42.9,42.2,42.9,1.72,1.72,3.44,1.69,3.41
M'gladbach,22,52.0,25,275,2250,48,40,2,4,62,2,1.92,1.60,3.52,1.84,3.44,48.8,45.7,48.8,1.95,1.95,3.90,1.83,3.78
Mainz 05,24,42.7,25,275,2250,32,26,2,2,53,3,1.28,1.04,2.32,1.20,2.24,32.9,31.4,32.9,1.32,1.32,2.63,1.26,2.57
Paderborn 07,25,45.8,25,275,2250,30,23,1,3,60,2,1.20,0.92,2.12,1.16,2.08,29.0,26.7,29.0,1.16,1.16,2.32,1.07,2.23
RB Leipzig,27,54.5,25,275,2250,62,41,5,5,38,1,2.48,1.64,4.12,2.28,3.92,51.5,48.0,51.5,2.06,2.06,4.12,1.92,3.98
Schalke 04,27,50.9,25,275,2250,30,21,1,1,42,1,1.20,0.84,2.04,1.16,2.00,29.0,28.3,29.0,1.16,1.16,2.32,1.13,2.29
Union Berlin,25,42.0,25,275,2250,30,20,4,5,55,4,1.20,0.80,2.00,1.04,1.84,30.6,26.8,30.6,1.22,1.22,2.45,1.07,2.30
Werder Bremen,30,48.8,24,264,2160,25,19,3,5,56,3,1.04,0.79,1.83,0.92,1.71,29.0,25.4,29.0,1.21,1.21,2.42,1.06,2.27
Wolfsburg,24,49.2,25,275,2250,34,24,3,3,44,2,1.36,0.96,2.32,1.24,2.20,35.2,32.9,35.2,1.41,1.41,2.81,1.32,2.72