Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Bayern Munich,26,18,4,4,75,26,+49,58,65.9,27.1,+38.8,+1.49,W W W W W,75000,Robert Lewandowski - 26,Manuel Neuer,
2,Dortmund,26,16,6,4,72,33,+39,54,46.8,31.9,+14.8,+0.57,W W W W W,81171,Jadon Sancho - 14,Roman Bürki,
3,M'gladbach,26,16,4,6,52,31,+21,52,52.1,34.8,+17.2,+0.66,D W L W W,47180,Alassane Pléa - 9,Yann Sommer,
4,RB Leipzig,26,14,9,3,63,27,+36,51,53.6,26.7,+26.9,+1.03,W W D D D,40827,Timo Werner - 21,Péter Gulácsi,
5,Leverkusen,26,15,5,6,49,31,+18,50,44.7,33.2,+11.4,+0.44,W W D W W,27770,Kevin Volland - 9,Lukáš Hrádecký,
6,Wolfsburg,26,10,9,7,36,31,+5,39,36.7,28.1,+8.6,+0.33,W W D D W,24351,Wout Weghorst - 11,Koen Casteels,
7,Freiburg,26,10,7,9,35,36,-1,37,31.6,46.2,-14.5,-0.56,D L L W D,23925,Nils Petersen - 8,Alexander Schwolow,
8,Schalke 04,26,9,10,7,33,40,-7,37,29.6,38.0,-8.4,-0.32,D L L D L,61044,Suat Serdar - 7,Alexander Nübel,
9,Hoffenheim,26,10,5,11,35,46,-11,35,36.8,42.3,-5.5,-0.21,L D L D L,26741,Andrej Kramarić - 7,Oliver Baumann,
10,Köln,26,10,3,13,41,47,-6,33,38.3,37.2,+1.2,+0.04,W W W L D,49717,Jhon Córdoba - 10,Timo Horn,
11,Hertha BSC,26,8,7,11,35,48,-13,31,29.4,40.3,-10.8,-0.42,W L D D W,49286,Dodi Lukebakio - 5,Rune Jarstein,
12,Union Berlin,26,9,3,14,32,43,-11,30,31.1,43.1,-12.0,-0.46,L W D L L,21911,Sebastian Andersson - 11,Rafał Gikiewicz,
13,Eint Frankfurt,25,8,4,13,39,44,-5,28,35.8,37.5,-1.7,-0.07,W L L L L,50200,Gonçalo Paciência - 7,Kevin Trapp,
14,Augsburg,26,7,6,13,37,54,-17,27,35.1,43.5,-8.4,-0.32,D L L L L,28709,Florian Niederlechner - 11,Tomáš Koubek,
15,Mainz 05,26,8,3,15,36,55,-19,27,35.0,44.5,-9.6,-0.37,D L W D D,27062,Robin Quaison - 12,Robin Zentner,
16,Düsseldorf,26,5,8,13,27,50,-23,23,25.8,45.8,-20.1,-0.77,L W D D D,43324,Rouwen Hennings - 11,Zack Steffen,
17,Werder Bremen,25,4,6,15,28,59,-31,18,30.2,38.7,-8.4,-0.34,L L L D L,40821,Milot Rashica - 7,Jiří Pavlenka,
18,Paderborn 07,26,4,5,17,30,54,-24,17,29.7,49.2,-19.5,-0.75,L L L L D,14434,Streli Mamba - 5,Leopold Zingerle,