wk,home_score,away_score,home_expected_goals,away_expected_goals,away_id,away_shots,away_shots_on_target,away_touches,away_pass_pct,away_assists,home_id,home_shots,home_shots_on_target,home_touches,home_pass_pct,home_assists,home_team,away_team
1,2,2,2.7,0.9,2818f8bc,6,3,434,72.2,2,054efa67,17,6,844,87.1,1,Bayern Munich,Hertha BSC
1,3,2,2.7,1.2,d9f93f02,10,5,456,65.7,0,c7a9f859,13,4,940,85.7,3,Leverkusen,Paderborn 07
1,3,0,2.1,0.9,a224b06a,19,5,524,76.6,0,a486e511,18,7,580,77.9,2,Freiburg,Mainz 05
1,2,1,0.8,1.0,bc357bf7,11,2,606,75.7,0,4eaa11d7,15,5,567,74.2,1,Wolfsburg,Köln
1,1,3,2.4,0.9,b1278397,12,7,473,73.7,3,62add3bf,24,10,808,86.8,1,Werder Bremen,Düsseldorf
1,5,1,2.4,0.7,0cdc4311,5,1,393,74.2,1,add600ae,21,9,1040,91.7,4,Dortmund,Augsburg
1,0,0,1.6,0.7,c539e393,8,1,506,72.2,0,32f3ee20,16,4,686,79.8,0,M'gladbach,Schalke 04
1,1,0,1.2,0.6,033ea6b8,10,1,742,84.8,0,f0ac8ee6,15,7,426,66.7,1,Eint Frankfurt,Hoffenheim
1,0,4,0.6,3.2,acbb6a5b,12,8,793,86.6,4,7a41008f,12,2,494,69.7,0,Union Berlin,RB Leipzig
2,1,3,0.8,1.7,add600ae,13,6,849,86.5,3,bc357bf7,11,1,393,64.8,1,Köln,Dortmund
2,1,3,1.7,2.1,a486e511,7,3,489,74.3,2,d9f93f02,16,2,561,79.6,1,Paderborn 07,Freiburg
2,1,1,1.5,1.1,7a41008f,12,2,468,68.5,1,0cdc4311,12,4,534,71.3,1,Augsburg,Union Berlin
2,1,3,1.0,1.8,c7a9f859,12,6,792,87.1,2,b1278397,12,5,439,75.3,0,Düsseldorf,Leverkusen
2,3,2,0.7,1.2,62add3bf,18,5,543,75.6,2,033ea6b8,10,3,658,83.1,3,Hoffenheim,Werder Bremen
2,1,3,1.2,1.5,32f3ee20,13,6,591,80.9,2,a224b06a,18,4,572,78.7,1,Mainz 05,M'gladbach
2,0,3,0.9,1.6,054efa67,9,5,845,87.4,1,c539e393,11,2,501,80.1,0,Schalke 04,Bayern Munich
2,2,1,1.5,0.9,f0ac8ee6,10,5,683,82.9,1,acbb6a5b,13,5,577,78.3,2,RB Leipzig,Eint Frankfurt
2,0,3,1.1,1.2,4eaa11d7,9,3,544,73.5,2,2818f8bc,9,2,637,80.7,0,Hertha BSC,Wolfsburg
3,1,3,1.1,2.3,acbb6a5b,14,6,667,81.8,2,32f3ee20,12,3,621,79.5,1,M'gladbach,RB Leipzig
3,3,0,1.0,0.8,2818f8bc,10,3,542,84.7,0,c539e393,9,2,661,84.1,1,Schalke 04,Hertha BSC
3,1,1,0.7,0.7,d9f93f02,10,4,521,71.3,1,4eaa11d7,15,4,706,77.6,1,Wolfsburg,Paderborn 07
3,0,0,0.9,0.3,033ea6b8,6,1,378,60.2,0,c7a9f859,20,2,817,83.3,0,Leverkusen,Hoffenheim
3,1,2,0.8,1.4,bc357bf7,9,2,516,75.3,1,a486e511,14,1,553,78.8,0,Freiburg,Köln
3,6,1,2.6,0.4,a224b06a,7,4,478,76.2,1,054efa67,18,9,827,87.4,5,Bayern Munich,Mainz 05
3,3,1,2.1,1.8,add600ae,14,2,900,88.6,1,7a41008f,15,7,398,65.2,2,Union Berlin,Dortmund
3,3,2,2.5,1.5,0cdc4311,11,5,426,70.6,2,62add3bf,16,4,720,82.3,3,Werder Bremen,Augsburg
3,2,1,1.3,0.6,b1278397,14,4,477,68.6,1,f0ac8ee6,14,7,641,77.7,2,Eint Frankfurt,Düsseldorf
4,1,1,0.6,1.5,4eaa11d7,15,6,671,80.7,1,b1278397,14,3,524,71.5,1,Düsseldorf,Wolfsburg
4,4,0,2.2,0.7,c7a9f859,12,3,849,86.8,0,add600ae,9,7,503,76.7,3,Dortmund,Leverkusen
4,0,1,1.0,2.0,32f3ee20,15,3,552,74.4,0,bc357bf7,14,7,557,74.6,0,Köln,M'gladbach
4,2,1,1.8,1.0,f0ac8ee6,21,4,708,77.1,1,0cdc4311,8,5,426,61.8,1,Augsburg,Eint Frankfurt
4,1,2,1.8,2.7,62add3bf,14,6,565,76.8,1,7a41008f,11,4,500,73.0,0,Union Berlin,Werder Bremen
4,2,1,1.8,2.2,2818f8bc,15,8,531,79.9,1,a224b06a,13,6,568,82.1,1,Mainz 05,Hertha BSC
4,1,1,1.6,1.5,054efa67,14,7,945,86.9,1,acbb6a5b,12,5,520,76.4,0,RB Leipzig,Bayern Munich
4,0,3,1.6,1.1,a486e511,14,8,412,67.9,3,033ea6b8,23,5,735,85.1,0,Hoffenheim,Freiburg
4,1,5,1.2,2.6,c539e393,18,11,616,79.5,4,d9f93f02,10,1,538,75.7,1,Paderborn 07,Schalke 04
5,2,1,1.2,1.1,a224b06a,14,3,614,74.9,1,c539e393,18,6,642,74.9,2,Schalke 04,Mainz 05
5,4,0,2.6,0.8,bc357bf7,14,2,508,76.5,0,054efa67,25,4,717,85.0,3,Bayern Munich,Köln
5,2,0,1.6,0.2,7a41008f,4,0,516,76.1,0,c7a9f859,21,7,915,88.5,1,Leverkusen,Union Berlin
5,2,1,1.2,1.5,d9f93f02,15,7,688,79.9,1,2818f8bc,7,4,498,69.6,2,Hertha BSC,Paderborn 07
5,1,1,1.1,1.0,0cdc4311,13,2,442,67.9,1,a486e511,16,4,626,78.3,0,Freiburg,Augsburg
5,0,3,0.7,1.5,acbb6a5b,14,7,696,83.1,1,62add3bf,8,1,660,82.2,0,Werder Bremen,RB Leipzig
5,2,1,2.8,1.0,b1278397,18,4,510,74.1,1,32f3ee20,23,11,652,82.2,1,M'gladbach,Düsseldorf
5,2,2,1.2,2.2,add600ae,15,7,799,83.1,2,f0ac8ee6,18,3,536,72.8,1,Eint Frankfurt,Dortmund
5,1,1,1.3,0.7,033ea6b8,10,6,640,76.9,1,4eaa11d7,13,4,692,79.7,1,Wolfsburg,Hoffenheim
6,1,2,0.7,1.5,f0ac8ee6,15,5,572,66.0,1,7a41008f,11,5,638,71.4,1,Union Berlin,Eint Frankfurt
6,2,3,0.3,3.5,054efa67,18,6,832,85.7,3,d9f93f02,10,6,528,74.6,1,Paderborn 07,Bayern Munich
6,0,3,0.3,1.1,c7a9f859,11,5,962,89.3,2,0cdc4311,7,1,384,66.0,0,Augsburg,Leverkusen
6,0,1,0.7,0.5,4eaa11d7,4,3,601,75.8,1,a224b06a,15,4,648,75.0,0,Mainz 05,Wolfsburg
6,0,3,1.7,2.0,32f3ee20,12,5,589,79.3,3,033ea6b8,18,3,633,82.4,0,Hoffenheim,M'gladbach
6,1,3,1.6,2.5,c539e393,13,6,511,68.0,2,acbb6a5b,16,6,805,81.3,1,RB Leipzig,Schalke 04
6,2,2,2.0,1.5,62add3bf,11,5,567,81.0,2,add600ae,20,7,926,87.6,2,Dortmund,Werder Bremen
6,1,2,1.3,1.7,a486e511,7,2,542,80.8,2,b1278397,17,7,622,81.9,1,Düsseldorf,Freiburg
6,0,4,0.9,1.4,2818f8bc,10,6,532,78.8,4,bc357bf7,9,3,607,81.5,0,Köln,Hertha BSC
7,3,1,1.5,1.2,b1278397,9,2,549,80.9,0,2818f8bc,17,3,594,81.4,3,Hertha BSC,Düsseldorf
7,1,2,1.7,2.8,a224b06a,15,6,489,71.6,1,d9f93f02,15,6,769,84.1,1,Paderborn 07,Mainz 05
7,2,2,0.4,0.8,add600ae,8,4,902,85.7,2,a486e511,7,1,531,77.4,1,Freiburg,Dortmund
7,1,1,1.3,1.7,acbb6a5b,10,5,575,71.8,1,c7a9f859,11,8,878,84.0,1,Leverkusen,RB Leipzig
7,1,2,1.5,0.8,033ea6b8,8,5,543,75.1,2,054efa67,19,4,861,85.8,1,Bayern Munich,Hoffenheim
7,1,1,1.7,0.6,bc357bf7,10,5,512,72.0,1,c539e393,15,3,589,74.9,1,Schalke 04,Köln
7,5,1,3.0,1.4,0cdc4311,14,3,491,78.1,0,32f3ee20,12,8,711,86.3,4,M'gladbach,Augsburg
7,1,0,2.3,0.6,7a41008f,14,3,549,64.5,0,4eaa11d7,14,5,600,71.2,1,Wolfsburg,Union Berlin
7,2,2,2.2,1.8,62add3bf,10,4,490,71.8,0,f0ac8ee6,21,7,677,75.7,0,Eint Frankfurt,Werder Bremen
8,3,0,2.6,1.6,c7a9f859,19,10,767,82.3,0,f0ac8ee6,9,4,463,61.4,2,Eint Frankfurt,Leverkusen
8,1,1,1.3,1.5,4eaa11d7,13,5,584,72.7,1,acbb6a5b,13,4,692,76.6,0,RB Leipzig,Wolfsburg
8,2,2,1.9,2.7,054efa67,25,8,907,89.5,2,0cdc4311,9,7,341,62.9,2,Augsburg,Bayern Munich
8,1,1,1.1,0.5,2818f8bc,12,2,662,82.2,1,62add3bf,16,5,711,82.1,1,Werder Bremen,Hertha BSC
8,1,0,1.3,0.2,a224b06a,6,1,530,79.0,0,b1278397,20,4,630,82.6,1,Düsseldorf,Mainz 05
8,2,0,1.0,0.5,a486e511,12,4,698,80.3,0,7a41008f,16,5,512,75.7,2,Union Berlin,Freiburg
8,1,0,2.2,2.8,32f3ee20,15,2,576,75.5,0,add600ae,17,5,667,81.0,1,Dortmund,M'gladbach
8,3,0,2.1,0.4,d9f93f02,9,1,729,84.6,0,bc357bf7,17,6,574,76.8,2,Köln,Paderborn 07
8,2,0,1.2,0.8,c539e393,11,2,650,82.5,0,033ea6b8,9,3,507,75.1,1,Hoffenheim,Schalke 04
9,3,1,1.3,1.9,bc357bf7,17,8,564,74.6,1,a224b06a,18,6,536,76.2,2,Mainz 05,Köln
9,0,0,1.0,0.4,add600ae,8,3,645,80.1,0,c539e393,14,2,528,73.4,0,Schalke 04,Dortmund
9,2,1,1.6,2.1,acbb6a5b,25,6,779,85.8,1,a486e511,14,4,562,77.9,1,Freiburg,RB Leipzig
9,2,1,3.5,1.6,7a41008f,4,2,518,77.1,0,054efa67,21,10,837,86.1,0,Bayern Munich,Union Berlin
9,2,3,2.0,2.0,033ea6b8,17,7,673,83.8,3,2818f8bc,14,4,544,76.8,1,Hertha BSC,Hoffenheim
9,2,0,0.8,1.4,b1278397,18,4,555,75.5,0,d9f93f02,14,6,548,75.6,2,Paderborn 07,Düsseldorf
9,2,2,1.9,0.7,62add3bf,10,3,534,77.0,1,c7a9f859,23,4,719,81.8,1,Leverkusen,Werder Bremen
9,0,0,0.9,0.8,0cdc4311,10,5,528,68.0,0,4eaa11d7,14,3,615,75.2,0,Wolfsburg,Augsburg
9,4,2,1.9,1.0,f0ac8ee6,15,3,620,75.2,2,32f3ee20,13,6,592,74.5,4,M'gladbach,Eint Frankfurt
10,3,0,1.7,0.5,d9f93f02,9,3,571,88.1,0,033ea6b8,12,7,917,92.9,2,Hoffenheim,Paderborn 07
10,5,1,2.8,1.0,054efa67,8,3,740,86.0,1,f0ac8ee6,17,11,516,77.4,3,Eint Frankfurt,Bayern Munich
10,1,2,2.8,2.3,32f3ee20,10,6,583,74.5,2,c7a9f859,22,7,768,81.2,1,Leverkusen,M'gladbach
10,2,2,1.8,0.8,a486e511,13,3,687,84.0,1,62add3bf,21,10,599,82.6,2,Werder Bremen,Freiburg
10,8,0,3.5,0.8,a224b06a,10,2,488,74.4,0,acbb6a5b,18,12,881,88.4,7,RB Leipzig,Mainz 05
10,3,0,1.8,1.6,4eaa11d7,13,3,519,75.8,0,add600ae,15,7,800,82.4,2,Dortmund,Wolfsburg
10,1,0,1.2,0.4,2818f8bc,7,3,544,74.2,0,7a41008f,13,5,598,76.9,0,Union Berlin,Hertha BSC
10,2,0,1.8,0.7,bc357bf7,8,1,625,79.5,0,b1278397,8,2,456,66.3,1,Düsseldorf,Köln
10,2,3,1.6,0.6,c539e393,9,3,695,81.8,1,0cdc4311,11,3,405,66.2,1,Augsburg,Schalke 04
11,1,2,0.7,1.8,033ea6b8,14,4,660,79.8,1,bc357bf7,11,3,564,76.9,1,Köln,Hoffenheim
11,2,3,2.0,0.9,7a41008f,12,4,554,73.6,2,a224b06a,16,5,641,76.8,2,Mainz 05,Union Berlin
11,3,3,1.7,1.7,b1278397,8,4,473,68.8,2,c539e393,12,4,594,78.6,2,Schalke 04,Düsseldorf
11,0,1,1.2,1.1,0cdc4311,14,5,498,68.5,0,d9f93f02,10,3,685,83.8,0,Paderborn 07,Augsburg
11,2,4,0.4,2.0,acbb6a5b,8,5,749,80.9,3,2818f8bc,7,3,532,72.4,1,Hertha BSC,RB Leipzig
11,4,0,3.1,0.6,add600ae,1,0,584,82.0,0,054efa67,17,5,793,87.8,3,Bayern Munich,Dortmund
11,3,1,1.4,1.7,62add3bf,15,6,539,78.2,1,32f3ee20,17,7,611,81.3,3,M'gladbach,Werder Bremen
11,0,2,0.8,1.4,c7a9f859,9,4,750,77.7,1,4eaa11d7,10,1,652,70.0,0,Wolfsburg,Leverkusen
11,1,0,0.7,1.0,f0ac8ee6,17,6,532,72.7,0,a486e511,13,6,552,76.2,1,Freiburg,Eint Frankfurt
12,3,3,2.5,1.5,d9f93f02,9,4,559,78.1,3,add600ae,17,7,922,85.7,3,Dortmund,Paderborn 07
12,1,2,1.8,0.6,c539e393,11,5,657,82.2,1,62add3bf,18,5,634,77.8,0,Werder Bremen,Schalke 04
12,1,1,3.6,1.1,a486e511,8,2,436,65.6,1,c7a9f859,27,9,858,86.5,1,Leverkusen,Freiburg
12,0,4,0.8,3.4,054efa67,18,5,859,87.7,4,b1278397,13,1,422,70.2,0,Düsseldorf,Bayern Munich
12,0,2,1.0,1.2,4eaa11d7,9,6,395,62.2,1,f0ac8ee6,17,9,637,75.3,0,Eint Frankfurt,Wolfsburg
12,2,0,1.6,1.1,32f3ee20,13,2,801,78.6,0,7a41008f,10,5,529,67.0,1,Union Berlin,M'gladbach
12,4,1,2.4,0.4,bc357bf7,6,1,457,72.6,1,acbb6a5b,20,7,864,85.5,1,RB Leipzig,Köln
12,4,0,2.0,0.4,2818f8bc,5,1,534,80.5,0,0cdc4311,14,5,550,81.2,2,Augsburg,Hertha BSC
12,1,5,2.2,2.1,a224b06a,12,5,486,73.3,3,033ea6b8,21,8,719,83.8,0,Hoffenheim,Mainz 05
13,2,1,1.6,1.8,7a41008f,15,6,574,71.1,0,c539e393,17,8,673,76.0,2,Schalke 04,Union Berlin
13,1,2,1.1,1.2,add600ae,7,5,689,83.6,2,2818f8bc,13,3,649,82.1,1,Hertha BSC,Dortmund
13,2,3,1.8,2.1,acbb6a5b,18,6,649,82.3,3,d9f93f02,8,4,678,79.2,2,Paderborn 07,RB Leipzig
13,1,1,1.4,1.9,0cdc4311,10,3,537,74.0,1,bc357bf7,15,6,613,79.7,1,Köln,Augsburg
13,1,1,1.7,1.0,b1278397,10,3,632,80.1,1,033ea6b8,10,5,643,82.3,1,Hoffenheim,Düsseldorf
13,1,2,2.4,1.1,c7a9f859,11,7,412,60.8,2,054efa67,24,10,888,84.9,1,Bayern Munich,Leverkusen
13,4,2,4.8,1.5,a486e511,13,4,595,83.2,1,32f3ee20,22,14,609,82.6,3,M'gladbach,Freiburg
13,2,3,2.2,1.4,62add3bf,9,2,482,64.8,2,4eaa11d7,20,6,662,75.1,2,Wolfsburg,Werder Bremen
13,2,1,2.0,1.0,f0ac8ee6,13,3,600,78.2,1,a224b06a,19,9,660,76.1,2,Mainz 05,Eint Frankfurt
14,2,2,2.8,1.2,2818f8bc,8,3,468,65.3,2,f0ac8ee6,27,7,655,75.7,2,Eint Frankfurt,Hertha BSC
14,3,1,3.7,1.4,033ea6b8,11,1,791,81.1,1,acbb6a5b,25,13,613,79.0,1,RB Leipzig,Hoffenheim
14,2,1,3.3,0.5,a224b06a,12,3,506,70.5,1,0cdc4311,15,4,531,69.2,1,Augsburg,Mainz 05
14,1,0,0.5,1.2,4eaa11d7,10,0,558,71.3,0,a486e511,10,3,562,72.9,0,Freiburg,Wolfsburg
14,5,0,3.2,0.1,b1278397,2,0,443,77.4,0,add600ae,23,10,1075,92.7,5,Dortmund,Düsseldorf
14,2,1,1.3,1.7,054efa67,17,5,692,83.1,1,32f3ee20,6,2,498,73.1,1,M'gladbach,Bayern Munich
14,2,1,2.2,1.2,c539e393,4,3,553,70.7,0,c7a9f859,20,9,664,78.4,2,Leverkusen,Schalke 04
14,2,0,1.9,1.1,bc357bf7,13,4,530,65.3,0,7a41008f,11,5,614,74.3,2,Union Berlin,Köln
14,0,1,0.9,1.2,d9f93f02,16,5,598,77.5,1,62add3bf,12,3,670,79.5,0,Werder Bremen,Paderborn 07
15,2,4,2.1,2.2,0cdc4311,5,3,360,62.3,3,033ea6b8,19,8,825,84.1,2,Hoffenheim,Augsburg
15,1,0,0.7,0.9,a486e511,16,4,724,81.2,0,2818f8bc,15,4,518,76.7,1,Hertha BSC,Freiburg
15,1,1,1.0,1.4,7a41008f,16,2,518,66.0,0,d9f93f02,13,3,651,76.3,1,Paderborn 07,Union Berlin
15,2,0,1.6,0.2,c7a9f859,6,2,772,84.2,0,bc357bf7,13,5,539,76.7,2,Köln,Leverkusen
15,6,1,5.0,0.5,62add3bf,10,3,435,71.8,1,054efa67,28,14,898,87.5,6,Bayern Munich,Werder Bremen
15,0,4,0.2,1.3,add600ae,18,7,822,85.4,3,a224b06a,9,0,555,75.4,0,Mainz 05,Dortmund
15,0,3,0.2,3.4,acbb6a5b,21,6,838,90.1,2,b1278397,4,1,424,76.7,0,Düsseldorf,RB Leipzig
15,2,1,1.2,0.4,32f3ee20,6,6,618,78.4,1,4eaa11d7,17,7,598,78.4,1,Wolfsburg,M'gladbach
15,1,0,1.1,0.8,f0ac8ee6,17,3,553,75.3,0,c539e393,11,5,561,79.0,1,Schalke 04,Eint Frankfurt
16,0,5,1.0,2.9,a224b06a,17,8,509,75.7,4,62add3bf,14,5,690,81.6,0,Werder Bremen,Mainz 05
16,3,3,1.2,2.6,acbb6a5b,12,8,703,77.7,0,add600ae,14,6,849,84.3,3,Dortmund,RB Leipzig
16,0,2,1.4,0.8,033ea6b8,7,4,577,71.7,1,7a41008f,16,2,540,66.9,0,Union Berlin,Hoffenheim
16,3,0,1.3,0.5,b1278397,6,2,547,72.7,0,0cdc4311,12,7,495,68.4,1,Augsburg,Düsseldorf
16,0,1,1.0,1.4,2818f8bc,10,5,439,68.8,0,c7a9f859,16,7,844,84.2,0,Leverkusen,Hertha BSC
16,2,4,1.3,2.5,bc357bf7,21,9,625,73.2,4,f0ac8ee6,17,6,524,65.1,2,Eint Frankfurt,Köln
16,1,3,1.6,3.4,054efa67,22,9,797,82.6,2,a486e511,15,5,522,68.1,1,Freiburg,Bayern Munich
16,2,0,2.8,0.6,d9f93f02,12,2,560,77.7,0,32f3ee20,16,5,739,82.4,1,M'gladbach,Paderborn 07
16,1,1,2.4,1.2,c539e393,8,3,538,73.1,0,4eaa11d7,29,9,615,76.1,0,Wolfsburg,Schalke 04
17,2,1,1.3,1.4,add600ae,12,5,725,84.8,1,033ea6b8,11,3,699,82.3,1,Hoffenheim,Dortmund
17,1,0,1.1,0.2,62add3bf,6,1,567,76.4,0,bc357bf7,7,1,662,77.5,1,Köln,Werder Bremen
17,3,1,3.3,0.4,0cdc4311,7,2,374,59.7,1,acbb6a5b,21,6,792,84.0,2,RB Leipzig,Augsburg
17,2,2,1.7,2.8,a486e511,17,5,479,77.0,0,c539e393,20,6,619,80.5,0,Schalke 04,Freiburg
17,0,1,1.9,1.5,c7a9f859,15,4,697,79.3,1,a224b06a,18,1,527,67.4,0,Mainz 05,Leverkusen
